Song,Artist,Album,Coverart,Year realsed
finessed,bossmanDlow,2 slippery,https://i1.sndcdn.com/artworks-ci5B3lfix6NU-0-t500x500.jpg,2023
sport center,bossmanDlow,sports center,https://geo-media.beatsource.com/image_size/500x500/6/8/e/68e9f1c9-dc31-40f4-8234-7c2bc98fa234.jpg,2024
shake dat ahh,bossmanDlow,unknown,https://trapaganda.com/_ipx/f_webp&s_500x500/https://api.trapaganda.com/media/bossman-dlow.jpg,2024
Help me,real boston richy,help me,https://upload.wikimedia.org/wikipedia/en/0/08/Real_Boston_Richey_-_Help_Me.jpg,2024
everything lit,sheff g,everything lit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSplqLqgkSBmULQHczMpQ_c8pUXWtQKmhcU6Q&s,2024
no suburban pt2,sheff g,one and only,https://i.scdn.co/image/ab67616d0000b273fd8811f9dc8c81a8b62c1670,2020
run it up,sheff g,From the can,https://i1.sndcdn.com/artworks-tn0C90jw8IhP-0-t500x500.jpg,2022
waiting,sheff g,pain & love 2,https://i.ytimg.com/vi/DGS_ng3Zf_4/sddefault.jpg,2024
anexity freestyle,sleepy hallow,sleepy for president,https://i.ytimg.com/vi/3VU7HSLlwYc/sddefault.jpg,2020
sweet little lies,rodwave,beatful minds,https://i.scdn.co/image/ab67616d0000b2738693303a558cd66d779d49f1,2022
letter from houston,rodwave,pray for love,https://i1.sndcdn.com/artworks-F58uMh49zJBqTyd7-4iiwnw-t500x500.jpg,2020
forever set in stone,rodwave,forever set in stone,https://i.scdn.co/image/ab67616d0000b273f4ba54b7753ad4c5f2924e53,2021
come see me,rodwave,Nostalgia ,https://i1.sndcdn.com/artworks-8onG4AKdCmiT-0-t500x500.jpg,2023
call your friends,rodwave,Nostalgia ,https://i1.sndcdn.com/artworks-8onG4AKdCmiT-0-t500x500.jpg,2023
already won,rodwave,SoulFly,https://i.scdn.co/image/ab67616d0000b2731234ddd76451088911b0d79f,2021
f my cousin,lil durk,Trech baby 3,https://m.media-amazon.com/images/I/41uSidcfZVL._UXNaN_FMjpg_QL85_.jpg,2022
computer meuders,lil durk,7220,https://i1.sndcdn.com/artworks-ZOS2FpUMgWx2-0-t500x500.jpg,2022
block is hot,lil durk,loyal bros,https://source.boomplaymusic.com/group10/M00/12/14/f1299cc54db2444d808c5d01fe85b3b3_464_464.jpg,2022
boys dont cry ,rodwave,Nostalgia,https://i1.sndcdn.com/artworks-8onG4AKdCmiT-0-t500x500.jpg,2023