Songs,Artists,Album,Years Released,Cover Art Link
For Certain,Party Next Door,Party Next Door 4 (P4),2024,https://m.media-amazon.com/images/I/71A95tCiT4L._AC_SY200_QL15_.jpg
Make It To The Morning ,Party Next Door,Party Next Door 4 (P4),2024,https://m.media-amazon.com/images/I/71A95tCiT4L._AC_SY200_QL15_.jpg
No Chill,Party Next Door,Party Next Door 4 (P4),2024,https://m.media-amazon.com/images/I/71A95tCiT4L._AC_SY200_QL15_.jpg
Residuals,Chis Brown,11:11 (Deluxe),2024,https://i.scdn.co/image/ab67616d0000b2733696d50637235a13afb731e5
Brindo Con Agua,Aventura,Brindo Con Agua,2024,https://upload.wikimedia.org/wikipedia/en/5/5d/Brindo_Con_Agua.jpg
El Desprecio,Aventura,The Last,2009,https://upload.wikimedia.org/wikipedia/en/5/5a/The_Last%28Aventura_Album%29.jpg
Take Care,Drake / Rihanna,Take Care(Deluxe),2011,https://upload.wikimedia.org/wikipedia/en/a/ae/Drake_-_Take_Care_cover.jpg
Young Girls,Bruno Mars,Unorthodox Jukebox,2012,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS2GYdSvkzid_6WMqm1fAwOKK_4EFRHCMGwQ&s
Die With A Smile,Lady Gaga / Bruno Mars,Die With A Smile,2024,https://upload.wikimedia.org/wikipedia/en/1/12/Lady_Gaga_and_Bruno_Mars_-_Die_with_a_Smile.png
Wicked Games,The Weekend,Wicked Games,2012,https://upload.wikimedia.org/wikipedia/en/3/3a/The_Weeknd_-_Wicked_Games.jpg