Song,Artist,Album,    Cover Art,Year Released
Love Songs,Kaash Paige,Parked Car Convos,https://cdns-images.dzcdn.net/images/cover/54a5b050d0f44233680852c8828240d5/1900x1900-000000-80-0-0.jpg,2019
FWU ,PARTYNEXTDOOR,PartyNextDoorTwo,https://upload.wikimedia.org/wikipedia/en/d/de/PartyNextDoorTwoCover.png,2014
2 Seconds,Jhene Aiko,Sailing Soul(s),https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Jhene_sailingsouls.png/220px-Jhene_sailingsouls.png,2011
Heaven Sent,Tevomxntana,Heaven Sent,https://e.snmc.io/i/600/w/8002ec527372a01c9a3f4f564b70926e/8841433/tevomxntana-heaven-sent-cover-art.png,2022
Selfish,PnB Rock,Selfish,https://upload.wikimedia.org/wikipedia/en/4/40/SelfishPnBRock.jpg,2016
El Amor Que Perdimos,Prince Royce ,Prince Royce ,https://upload.wikimedia.org/wikipedia/en/b/b7/Prince-royce-album.jpg,2011
ss,Ken Carson,A Great Chaos,https://upload.wikimedia.org/wikipedia/en/f/f5/Ken_Carson_-_A_Great_Chaos.jpg,2023
Family Affair ,Mary J. Blige,No More Drama,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Family_Affair_%28Mary_J._Blige_song%29.jpg/220px-Family_Affair_%28Mary_J._Blige_song%29.jpg,2001
I DONT KNOW WHAT TO TELL YOU,Bktherula,LOVE BLACK,https://i1.sndcdn.com/artworks-85mWnNjvWrnr-0-t500x500.jpg,2021
Cgampagne Coast,Blood Orange,Coastal Grooves,https://i.ytimg.com/vi/MuZfJwghp1Y/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLABY4MyTMsol9fcpLN3COQRt9gAdg,2011